,run,strategy,day,cumulative.vaccinations.0.to.19,cumulative.vaccinations.20.to.59,cumulative.vaccinations.60.plus,cumulative.vaccinations,daily.new.infections.0.to.19,daily.new.infections.20.to.59,daily.new.infections.60.plus,daily.new.infections,cumulative.new.infections.0.to.19,cumulative.new.infections.20.to.59,cumulative.new.infections.60.plus,cumulative.new.infections,cumulative.mortality.0.to.19,cumulative.mortality.20.to.59,cumulative.mortality.60.plus,cumulative.mortality,hospital.occupancy,ICU.occupancy,hospital.days,ICU.days,hospital.costs,ICU.costs,vaccine.costs,total.costs,YLL
359,1x_supply_bc,1,359,0,0,0,0,21,41,6,68,131586,194751,32365,358702,14,651,897,1562,17,7,51381,12332,7928602.11,21592962.04,0,29521564.15,27428.47
359,1x_supply_bc,2,359,0,0,73203,73203,55,72,2,129,118341,174950,14972,308263,7,410,191,608,22,7,35523,11436,5481554.13,20024092.92,1637855.646,27143502.7,13076.44
359,1x_supply_bc,3,359,0,33176,76560,109736,57,81,6,144,111276,159746,14452,285474,10,296,145,451,29,11,32708,11472,5047171.48,20087127.84,1637855.646,26772154.97,9810.14
359,1x_supply_bc,4,359,0,0,73203,73203,55,72,2,129,118341,174950,14972,308263,7,410,191,608,22,7,35523,11436,5481554.13,20024092.92,1637855.646,27143502.7,13076.44
359,1x_supply_bc,5,359,0,0,73203,73203,55,72,2,129,118341,174950,14972,308263,7,410,191,608,22,7,35523,11436,5481554.13,20024092.92,1637855.646,27143502.7,13076.44
359,2x_supply_bc,1,359,0,0,0,0,21,41,6,68,131586,194751,32365,358702,14,651,897,1562,17,7,51381,12332,7928602.11,21592962.04,0,29521564.15,27428.47
359,2x_supply_bc,2,359,0,67572,76957,144529,56,81,5,142,102527,141706,12550,256783,4,256,117,377,18,11,28247,9891,4358794.57,17318844.27,3275711.292,24953350.13,8118.22
359,2x_supply_bc,3,359,0,145464,76560,222024,88,121,12,221,85967,110095,11206,207268,0,141,125,266,41,7,21204,7721,3271989.24,13519239.37,3275711.292,20066939.9,5003.89
359,2x_supply_bc,4,359,0,68904,76740,145644,59,90,8,157,101647,141660,10398,253705,3,211,100,314,17,5,27841,9288,4296144.71,16263009.36,3275711.292,23834865.36,6712.69
359,2x_supply_bc,5,359,0,68904,76740,145644,59,90,8,157,101647,141660,10398,253705,3,211,100,314,17,5,27841,9288,4296144.71,16263009.36,3275711.292,23834865.36,6712.69
359,1x_supply_pace_100k,1,359,0,0,0,0,21,41,6,68,131586,194751,32365,358702,14,651,897,1562,17,7,51381,12332,7928602.11,21592962.04,0,29521564.15,27428.47
359,1x_supply_pace_100k,2,359,0,0,72558,72558,40,57,4,101,118802,175676,15100,309578,4,385,186,575,22,10,36769,11369,5673824.39,19906777.93,1637855.646,27218457.97,12199.99
359,1x_supply_pace_100k,3,359,0,34020,76545,110565,61,72,8,141,110327,158275,14432,283034,1,317,189,507,27,9,32021,11279,4941160.51,19749190.63,1637855.646,26328206.79,10302.09
